,0
cc_chestpain,-0.16432806741705527
cc_shortnessofbreath,-0.1502854008728927
cc_suicidal,-0.14260267564984128
cc_alcoholintoxication,-0.1421270801295029
cc_alteredmentalstatus,-0.13195837206610034
cc_psychiatricevaluation,-0.10322461237593304
cc_weakness,-0.08067226546595163
cc_syncope,-0.07494122295831762
cc_sicklecellpain,-0.06954943787417461
cc_gibleeding,-0.0682875115939669
cc_abnormallab,-0.06492167370972186
cc_neurologicproblem,-0.06279323507721804
cc_hypotension,-0.05818387894221596
cc_drugproblem,-0.05641911141567065
cc_strokealert,-0.05315677948972742
cc_alcoholproblem,-0.05206695958664272
cc_lethargy,-0.05098147962505654
cc_depression,-0.049276181612967956
cc_dyspnea,-0.049161628175886506
cc_poisoning,-0.04763456676809025
cc_dizziness,-0.045087565034605724
cc_elevatedbloodsugar-symptomatic,-0.04396632638415178
cc_fever-9weeksto74years,-0.04348446776007087
cc_fever-75yearsorolder,-0.04282923945380208
cc_breathingdifficulty,-0.042282235233966604
cc_feverimmunocompromised,-0.041916654395502594
cc_tachycardia,-0.040388545142637886
cc_withdrawal-alcohol,-0.039722722194659194
cc_decreasedbloodsugar-symptomatic,-0.03932412228157532
cc_hallucinations,-0.038188670531886126
cc_palpitations,-0.03789819545755748
cc_overdose-intentional,-0.03713491503339386
cc_hypertension,-0.03627121294499453
cc_nearsyncope,-0.03618143412476727
cc_confusion,-0.03485583366978216
cc_seizure-priorhxof,-0.03322484449341756
cc_drug/alcoholassessment,-0.032178295758972346
cc_fatigue,-0.03128201933973044
cc_psychoticsymptoms,-0.03076516284707779
cc_unresponsive,-0.029552228705692102
cc_homicidal,-0.029551872546543408
cc_seizure-newonset,-0.027526384476996003
cc_irregularheartbeat,-0.025548633733339845
cc_detoxevaluation,-0.02551598864150039
cc_lossofconsciousness,-0.02501419428600409
cc_emesis,-0.024964817514747505
cc_abdominalpain,-0.023819665967817746
cc_elevatedbloodsugar-nosymptoms,-0.023808245514907414
cc_giproblem,-0.022574645061445242
cc_respiratorydistress,-0.021672543602006055
cc_modifiedtrauma,-0.02130408979858228
cc_rapidheartrate,-0.020930268205862097
cc_fall>65,-0.0208487857838001
cc_agitation,-0.0195144508150192
cc_hemoptysis,-0.019514450815019183
cc_headache-newonsetornewsymptoms,-0.01931990319591823
cc_edema,-0.018034528656069464
cc_overdose-accidental,-0.015365995219208702
cc_addictionproblem,-0.015080396685494513
cc_abdominaldistention,-0.014743029631456987
cc_extremityweakness,-0.014406551306286187
cc_ingestion,-0.01392993069259953
cc_headachere-evaluation,-0.010827537476770512
cc_chesttightness,-0.010680764840555525
cc_multiplefalls,-0.010676268698053912
cc_nausea,-0.010509051006879303
cc_fulltrauma,-0.009942691770853032
cc_blurredvision,-0.008466575466667478
cc_abdominalpainpregnant,-0.008413395727677261
cc_swallowedforeignbody,-0.00841060831683779
cc_dehydration,-0.008353751248554479
cc_hematuria,-0.008218175366174795
cc_diarrhea,-0.008173985814079155
cc_numbness,-0.00712313298877571
cc_rectalbleeding,-0.00700866630581359
cc_testiclepain,-0.0064663626236257914
cc_hyperglycemia,-0.004973891912985043
cc_medicalproblem,-0.004940962973843656
cc_epigastricpain,-0.004664471287028821
cc_post-opproblem,-0.0040218254078809865
cc_seizures,-0.003991948960239265
cc_urinaryretention,-0.0037375486567111575
cc_trauma,-0.0034595731587491654
cc_bodyfluidexposure,-0.003179724162562915
cc_vaginalbleeding,-0.0027947812180471663
cc_anxiety,-0.0025791258749627375
cc_breathingproblem,-0.002100492690134497
cc_allergicreaction,-0.0016690032078588732
cc_chills,0.0011435077483582224
cc_flankpain,0.0017047003371729143
cc_legswelling,0.0018651482187909377
cc_bleeding/bruising,0.0022734739666867188
cc_fever,0.002857835635414071
