column_name,dtype,missing_count,missing_percent,unique_values
dep_name,object,0,0.0,3
esi,float64,0,0.0,5
age,float64,0,0.0,88
gender,object,0,0.0,2
ethnicity,object,0,0.0,4
race,object,0,0.0,8
lang,object,0,0.0,2
religion,object,0,0.0,12
maritalstatus,object,0,0.0,10
employstatus,object,0,0.0,10
insurance_status,object,0,0.0,5
disposition,object,0,0.0,2
arrivalmode,object,0,0.0,7
arrivalmonth,object,0,0.0,12
arrivalday,object,0,0.0,7
arrivalhour_bin,object,0,0.0,6
previousdispo,object,0,0.0,10
triage_vital_hr,float64,0,0.0,279
triage_vital_sbp,float64,0,0.0,365
triage_vital_dbp,float64,0,0.0,259
triage_vital_rr,float64,0,0.0,62
triage_vital_o2,float64,0,0.0,58
triage_vital_o2_device,float64,0,0.0,2
triage_vital_temp,float64,0,0.0,188
triage_glucose,float64,0,0.0,672
cc_abdominalcramping,float64,0,0.0,2
cc_abdominaldistention,float64,0,0.0,2
cc_abdominalpain,float64,0,0.0,3
cc_abdominalpainpregnant,float64,0,0.0,2
cc_abnormallab,float64,0,0.0,3
cc_abscess,float64,0,0.0,2
cc_addictionproblem,float64,0,0.0,2
cc_agitation,float64,0,0.0,2
cc_alcoholintoxication,float64,0,0.0,2
cc_alcoholproblem,float64,0,0.0,2
cc_allergicreaction,float64,0,0.0,2
cc_alteredmentalstatus,float64,0,0.0,2
cc_animalbite,float64,0,0.0,2
cc_ankleinjury,float64,0,0.0,2
cc_anklepain,float64,0,0.0,2
cc_anxiety,float64,0,0.0,2
cc_arminjury,float64,0,0.0,2
cc_armpain,float64,0,0.0,2
cc_armswelling,float64,0,0.0,2
cc_assaultvictim,float64,0,0.0,2
cc_asthma,float64,0,0.0,2
cc_backpain,float64,0,0.0,2
cc_bleeding/bruising,float64,0,0.0,2
cc_blurredvision,float64,0,0.0,2
cc_bodyfluidexposure,float64,0,0.0,2
cc_breastpain,float64,0,0.0,2
cc_breathingdifficulty,float64,0,0.0,2
cc_breathingproblem,float64,0,0.0,2
cc_burn,float64,0,0.0,2
cc_cardiacarrest,float64,0,0.0,1
cc_cellulitis,float64,0,0.0,2
cc_chestpain,float64,0,0.0,3
cc_chesttightness,float64,0,0.0,2
cc_chills,float64,0,0.0,2
cc_coldlikesymptoms,float64,0,0.0,2
cc_confusion,float64,0,0.0,2
cc_conjunctivitis,float64,0,0.0,2
cc_constipation,float64,0,0.0,2
cc_cough,float64,0,0.0,2
cc_cyst,float64,0,0.0,2
cc_decreasedbloodsugar-symptomatic,float64,0,0.0,2
cc_dehydration,float64,0,0.0,2
cc_dentalpain,float64,0,0.0,2
cc_depression,float64,0,0.0,2
cc_detoxevaluation,float64,0,0.0,2
cc_diarrhea,float64,0,0.0,2
cc_dizziness,float64,0,0.0,2
cc_drug/alcoholassessment,float64,0,0.0,2
cc_drugproblem,float64,0,0.0,2
cc_dyspnea,float64,0,0.0,2
cc_dysuria,float64,0,0.0,2
cc_earpain,float64,0,0.0,2
cc_earproblem,float64,0,0.0,2
cc_edema,float64,0,0.0,2
cc_elbowpain,float64,0,0.0,2
cc_elevatedbloodsugar-nosymptoms,float64,0,0.0,2
cc_elevatedbloodsugar-symptomatic,float64,0,0.0,2
cc_emesis,float64,0,0.0,2
cc_epigastricpain,float64,0,0.0,2
cc_epistaxis,float64,0,0.0,3
cc_exposuretostd,float64,0,0.0,2
cc_extremitylaceration,float64,0,0.0,2
cc_extremityweakness,float64,0,0.0,2
cc_eyeinjury,float64,0,0.0,2
cc_eyepain,float64,0,0.0,2
cc_eyeproblem,float64,0,0.0,2
cc_eyeredness,float64,0,0.0,2
cc_facialinjury,float64,0,0.0,2
cc_faciallaceration,float64,0,0.0,2
cc_facialpain,float64,0,0.0,2
cc_facialswelling,float64,0,0.0,2
cc_fall,float64,0,0.0,3
cc_fall>65,float64,0,0.0,2
cc_fatigue,float64,0,0.0,2
cc_femaleguproblem,float64,0,0.0,2
cc_fever,float64,0,0.0,2
cc_fever-75yearsorolder,float64,0,0.0,2
cc_fever-9weeksto74years,float64,0,0.0,2
cc_feverimmunocompromised,float64,0,0.0,2
cc_fingerinjury,float64,0,0.0,2
cc_fingerpain,float64,0,0.0,2
cc_fingerswelling,float64,0,0.0,2
cc_flankpain,float64,0,0.0,2
cc_follow-upcellulitis,float64,0,0.0,2
cc_footinjury,float64,0,0.0,2
cc_footpain,float64,0,0.0,2
cc_footswelling,float64,0,0.0,2
cc_foreignbodyineye,float64,0,0.0,2
cc_fulltrauma,float64,0,0.0,2
cc_generalizedbodyaches,float64,0,0.0,2
cc_gibleeding,float64,0,0.0,2
cc_giproblem,float64,0,0.0,2
cc_groinpain,float64,0,0.0,2
cc_hallucinations,float64,0,0.0,2
cc_handinjury,float64,0,0.0,2
cc_handpain,float64,0,0.0,2
cc_headache,float64,0,0.0,2
cc_headache-newonsetornewsymptoms,float64,0,0.0,2
cc_headache-recurrentorknowndxmigraines,float64,0,0.0,2
cc_headachere-evaluation,float64,0,0.0,2
cc_headinjury,float64,0,0.0,2
cc_headlaceration,float64,0,0.0,2
cc_hematuria,float64,0,0.0,2
cc_hemoptysis,float64,0,0.0,2
cc_hippain,float64,0,0.0,2
cc_homicidal,float64,0,0.0,2
cc_hyperglycemia,float64,0,0.0,2
cc_hypertension,float64,0,0.0,2
cc_hypotension,float64,0,0.0,2
cc_influenza,float64,0,0.0,2
cc_ingestion,float64,0,0.0,2
cc_insectbite,float64,0,0.0,2
cc_irregularheartbeat,float64,0,0.0,2
cc_jawpain,float64,0,0.0,2
cc_jointswelling,float64,0,0.0,2
cc_kneeinjury,float64,0,0.0,2
cc_kneepain,float64,0,0.0,2
cc_laceration,float64,0,0.0,2
cc_leginjury,float64,0,0.0,2
cc_legpain,float64,0,0.0,2
cc_legswelling,float64,0,0.0,2
cc_lethargy,float64,0,0.0,2
cc_lossofconsciousness,float64,0,0.0,2
cc_maleguproblem,float64,0,0.0,2
cc_mass,float64,0,0.0,2
cc_medicalproblem,float64,0,0.0,2
cc_medicalscreening,float64,0,0.0,3
cc_medicationproblem,float64,0,0.0,2
cc_medicationrefill,float64,0,0.0,2
cc_migraine,float64,0,0.0,2
cc_modifiedtrauma,float64,0,0.0,2
cc_motorcyclecrash,float64,0,0.0,2
cc_motorvehiclecrash,float64,0,0.0,2
cc_multiplefalls,float64,0,0.0,2
cc_nasalcongestion,float64,0,0.0,2
cc_nausea,float64,0,0.0,2
cc_nearsyncope,float64,0,0.0,2
cc_neckpain,float64,0,0.0,2
cc_neurologicproblem,float64,0,0.0,2
cc_numbness,float64,0,0.0,2
cc_oralswelling,float64,0,0.0,2
cc_otalgia,float64,0,0.0,2
cc_other,float64,0,0.0,4
cc_overdose-accidental,float64,0,0.0,2
cc_overdose-intentional,float64,0,0.0,2
cc_pain,float64,0,0.0,2
cc_palpitations,float64,0,0.0,3
cc_panicattack,float64,0,0.0,2
cc_pelvicpain,float64,0,0.0,2
cc_poisoning,float64,0,0.0,2
cc_post-opproblem,float64,0,0.0,2
cc_psychiatricevaluation,float64,0,0.0,2
cc_psychoticsymptoms,float64,0,0.0,2
cc_rapidheartrate,float64,0,0.0,2
cc_rash,float64,0,0.0,2
cc_rectalbleeding,float64,0,0.0,2
cc_rectalpain,float64,0,0.0,2
cc_respiratorydistress,float64,0,0.0,2
cc_ribinjury,float64,0,0.0,2
cc_ribpain,float64,0,0.0,2
cc_seizure-newonset,float64,0,0.0,2
cc_seizure-priorhxof,float64,0,0.0,2
cc_seizures,float64,0,0.0,2
cc_shortnessofbreath,float64,0,0.0,2
cc_shoulderinjury,float64,0,0.0,2
cc_shoulderpain,float64,0,0.0,2
cc_sicklecellpain,float64,0,0.0,2
cc_sinusproblem,float64,0,0.0,2
cc_skinirritation,float64,0,0.0,2
cc_skinproblem,float64,0,0.0,2
cc_sorethroat,float64,0,0.0,2
cc_stdcheck,float64,0,0.0,2
cc_strokealert,float64,0,0.0,2
cc_suicidal,float64,0,0.0,2
cc_suture/stapleremoval,float64,0,0.0,2
cc_swallowedforeignbody,float64,0,0.0,2
cc_syncope,float64,0,0.0,2
cc_tachycardia,float64,0,0.0,2
cc_testiclepain,float64,0,0.0,2
cc_thumbinjury,float64,0,0.0,2
cc_tickremoval,float64,0,0.0,2
cc_toeinjury,float64,0,0.0,2
cc_toepain,float64,0,0.0,2
cc_trauma,float64,0,0.0,2
cc_unresponsive,float64,0,0.0,2
cc_uri,float64,0,0.0,3
cc_urinaryfrequency,float64,0,0.0,2
cc_urinaryretention,float64,0,0.0,2
cc_urinarytractinfection,float64,0,0.0,2
cc_vaginalbleeding,float64,0,0.0,2
cc_vaginaldischarge,float64,0,0.0,2
cc_vaginalpain,float64,0,0.0,2
cc_weakness,float64,0,0.0,2
cc_wheezing,float64,0,0.0,2
