Model,Class or Average,precision,recall,f1-score,support
Logistic Regression (Week 6),1,0.02,0.7,0.04,10.0
Logistic Regression (Week 6),2,0.67,0.646,0.658,2587.0
Logistic Regression (Week 6),3,0.766,0.536,0.631,3964.0
Logistic Regression (Week 6),4,0.522,0.641,0.575,1322.0
Logistic Regression (Week 6),5,0.149,0.695,0.246,177.0
Logistic Regression (Week 6),accuracy,0.592,0.592,0.592,0.592
Logistic Regression (Week 6),macro avg,0.426,0.644,0.43,8060.0
Logistic Regression (Week 6),weighted avg,0.681,0.592,0.621,8060.0
Decision Tree (Week 6),1,0.009,0.3,0.017,10.0
Decision Tree (Week 6),2,0.472,0.434,0.452,2587.0
Decision Tree (Week 6),3,0.859,0.153,0.26,3964.0
Decision Tree (Week 6),4,0.25,0.863,0.388,1322.0
Decision Tree (Week 6),5,0.328,0.119,0.174,177.0
Decision Tree (Week 6),accuracy,0.359,0.359,0.359,0.359
Decision Tree (Week 6),macro avg,0.383,0.374,0.258,8060.0
Decision Tree (Week 6),weighted avg,0.622,0.359,0.34,8060.0
Random Forest (Week 7),1,0.0,0.0,0.0,10.0
Random Forest (Week 7),2,0.553,0.709,0.622,2587.0
Random Forest (Week 7),3,0.803,0.294,0.431,3964.0
Random Forest (Week 7),4,0.331,0.651,0.439,1322.0
Random Forest (Week 7),5,0.132,0.514,0.21,177.0
Random Forest (Week 7),accuracy,0.491,0.491,0.491,0.491
Random Forest (Week 7),macro avg,0.364,0.434,0.34,8060.0
Random Forest (Week 7),weighted avg,0.63,0.491,0.488,8060.0
XGBoost (Week 7),1,0.667,0.2,0.308,10.0
XGBoost (Week 7),2,0.663,0.728,0.694,2587.0
XGBoost (Week 7),3,0.769,0.545,0.638,3964.0
XGBoost (Week 7),4,0.499,0.691,0.579,1322.0
XGBoost (Week 7),5,0.172,0.559,0.263,177.0
XGBoost (Week 7),accuracy,0.628,0.628,0.628,0.628
XGBoost (Week 7),macro avg,0.554,0.545,0.496,8060.0
XGBoost (Week 7),weighted avg,0.677,0.628,0.638,8060.0
LightGBM (Week 7),1,0.5,0.1,0.167,10.0
LightGBM (Week 7),2,0.681,0.721,0.7,2587.0
LightGBM (Week 7),3,0.752,0.607,0.672,3964.0
LightGBM (Week 7),4,0.534,0.749,0.623,1322.0
LightGBM (Week 7),5,0.272,0.401,0.324,177.0
LightGBM (Week 7),accuracy,0.662,0.662,0.662,0.662
LightGBM (Week 7),macro avg,0.548,0.516,0.497,8060.0
LightGBM (Week 7),weighted avg,0.682,0.662,0.665,8060.0
