Model,Class or Average,precision,recall,f1-score,support
Logistic Regression (Week 6),1,0.019,0.733,0.037,15.0
Logistic Regression (Week 6),2,0.668,0.617,0.642,3515.0
Logistic Regression (Week 6),3,0.761,0.537,0.63,5302.0
Logistic Regression (Week 6),4,0.502,0.612,0.552,1746.0
Logistic Regression (Week 6),5,0.158,0.748,0.261,238.0
Logistic Regression (Week 6),accuracy,0.58,0.58,0.58,0.58
Logistic Regression (Week 6),macro avg,0.422,0.649,0.424,10816.0
Logistic Regression (Week 6),weighted avg,0.675,0.58,0.612,10816.0
Decision Tree (Week 6),1,0.012,0.533,0.024,15.0
Decision Tree (Week 6),2,0.502,0.48,0.491,3515.0
Decision Tree (Week 6),3,0.839,0.152,0.258,5302.0
Decision Tree (Week 6),4,0.0,0.0,0.0,1746.0
Decision Tree (Week 6),5,0.037,0.92,0.072,238.0
Decision Tree (Week 6),accuracy,0.252,0.252,0.252,0.252
Decision Tree (Week 6),macro avg,0.278,0.417,0.169,10816.0
Decision Tree (Week 6),weighted avg,0.575,0.252,0.288,10816.0
Random Forest (Week 7),1,0.333,0.333,0.333,15.0
Random Forest (Week 7),2,0.554,0.707,0.621,3515.0
Random Forest (Week 7),3,0.787,0.27,0.402,5302.0
Random Forest (Week 7),4,0.321,0.628,0.425,1746.0
Random Forest (Week 7),5,0.132,0.601,0.216,238.0
Random Forest (Week 7),accuracy,0.477,0.477,0.477,0.477
Random Forest (Week 7),macro avg,0.426,0.508,0.4,10816.0
Random Forest (Week 7),weighted avg,0.621,0.477,0.473,10816.0
